Тест,Тип данни,Механизъм,Линеен χ²,ΛCDM χ²,Победител,Подобрение,Точки
Суперновi,Светимостни разстояния,Разширение → яркост,0.494,0.624,Линеен,+21.0%,1701
BAO геометрия,Геометрични разстояния,Пространство → ъгли,3.768,3.372,ΛCDM,-11.7%,9
AP изкривяване,Чиста геометрия,Съотношения разстояния,1.000,1.000,Равенство,+0.0%,100
Степенна оптимизация,Математическа структура,Параметрично пространство,1.000,1.000,Линеен,+100.0%,200
