# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.655418671740e-10       7.708501675261e-15       2.369973538194e-13       6.524895765710e-17       8.535641768824e-11       8.799115822911e-12      -7.497046250635e-15 
   41       1.680046793585e-10       8.371312467450e-15       2.276568457531e-13       6.855737404633e-17       8.113569893309e-11       8.401357805834e-12      -6.884304403916e-15 
   42       1.704953509344e-10       9.069571418137e-15       2.169126432791e-13       7.194893169342e-17       7.719611497896e-11       8.031155867226e-12      -6.515142539039e-15 
   43       1.730136299815e-10       9.803820755935e-15       2.048117731076e-13       7.542366957594e-17       7.349514493696e-11       7.682156980787e-12      -6.513614423250e-15 
   44       1.755621902013e-10       1.057469215330e-14       1.913147082254e-13       7.898161804563e-17       7.002708524312e-11       7.353448898262e-12      -6.831788510746e-15 
   45       1.781423275861e-10       1.138282127757e-14       1.763526366478e-13       8.262280133797e-17       6.678839639133e-11       7.044895854105e-12      -7.355896866276e-15 
   46       1.807521359449e-10       1.222881449598e-14       1.598489749226e-13       8.634723855928e-17       6.376391128987e-11       6.755305996739e-12      -7.945913017232e-15 
   47       1.833862134866e-10       1.311324779336e-14       1.417187975112e-13       9.015494373328e-17       6.092592873850e-11       6.482347827427e-12      -8.434012379204e-15 
   48       1.860382031788e-10       1.403661492614e-14       1.218824287361e-13       9.404592298946e-17       5.824274001751e-11       6.223297257103e-12      -8.670789392898e-15 
   49       1.887099452478e-10       1.499915712761e-14       1.003120807188e-13       9.802016508209e-17       5.570916607167e-11       5.977722771758e-12      -8.682906987563e-15 
   50       1.914044005340e-10       1.600098353918e-14       7.699738171794e-14       1.020776482787e-16       5.332307087631e-11       5.745413614897e-12      -8.557241409202e-15 
   51       1.941228967988e-10       1.704211420106e-14       5.193250960777e-14       1.062183428884e-16       5.107626511212e-11       5.525575086154e-12      -8.397880399270e-15 
   52       1.968649798892e-10       1.812247638001e-14       2.511634383917e-14       1.104422111625e-16       4.895408092334e-11       5.316787358630e-12      -8.327020187144e-15 
   53       1.996295698371e-10       1.924197414337e-14      -3.452228421042e-15       1.147492065152e-16       4.693997702852e-11       5.117491429317e-12      -8.453175710827e-15 
   54       2.024191207753e-10       2.040072653798e-14      -3.379016068300e-14       1.191392711802e-16       4.503172313288e-11       4.927688470225e-12      -8.764149589485e-15 
   55       2.052362713143e-10       2.159888425704e-14      -6.591820919596e-14       1.236123377786e-16       4.322863608635e-11       4.747605677760e-12      -9.208104216426e-15 
   56       2.080825412342e-10       2.283656116714e-14      -9.985649390865e-14       1.281683298211e-16       4.152670430906e-11       4.577188737518e-12      -9.723376608335e-15 
   57       2.109582373624e-10       2.411383370711e-14      -1.356245496875e-13       1.328071615806e-16       3.991837346587e-11       4.416082743636e-12      -1.023800488320e-14 
   58       2.138623594522e-10       2.543074028688e-14      -1.732413775351e-13       1.375287379643e-16       3.839233214084e-11       4.263613118147e-12      -1.066925473823e-14 
