# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.654451137210e-10       7.643715269279e-15       2.371903710335e-13       0.000000000000e+00       8.535641768824e-11       8.799115822911e-12      -7.497046250635e-15 
   41       1.679038538510e-10       8.303310590991e-15       2.278639989560e-13       0.000000000000e+00       8.113569893309e-11       8.401357805834e-12      -6.884304403916e-15 
   42       1.703904088336e-10       8.998283215944e-15       2.171343066222e-13       0.000000000000e+00       7.719611497896e-11       8.031155867226e-12      -6.515142539039e-15 
   43       1.729045302357e-10       9.729176305698e-15       2.050482744407e-13       0.000000000000e+00       7.349514493696e-11       7.682156980787e-12      -6.513614423250e-15 
   44       1.754488944024e-10       1.049662257800e-14       1.915663234248e-13       0.000000000000e+00       7.002708524312e-11       7.353448898262e-12      -6.831788510746e-15 
   45       1.780247997050e-10       1.130125881886e-14       1.766195838007e-13       0.000000000000e+00       6.678839639133e-11       7.044895854105e-12      -7.355896866276e-15 
   46       1.806303422867e-10       1.214369257326e-14       1.601314083294e-13       0.000000000000e+00       6.376391128987e-11       6.755305996739e-12      -7.945913017232e-15 
   47       1.832601226430e-10       1.302450106404e-14       1.420168014832e-13       0.000000000000e+00       6.092592873850e-11       6.482347827427e-12      -8.434012379204e-15 
   48       1.859077858224e-10       1.394417938320e-14       1.221960115923e-13       0.000000000000e+00       5.824274001751e-11       6.223297257103e-12      -8.670789392898e-15 
   49       1.885751734046e-10       1.490297031938e-14       1.006411699230e-13       0.000000000000e+00       5.570916607167e-11       5.977722771758e-12      -8.682906987563e-15 
   50       1.912652472263e-10       1.590098470319e-14       7.734181784505e-14       0.000000000000e+00       5.332307087631e-11       5.745413614897e-12      -8.557241409202e-15 
   51       1.939793358217e-10       1.693824436749e-14       5.229203975508e-14       0.000000000000e+00       5.107626511212e-11       5.525575086154e-12      -8.397880399270e-15 
   52       1.967169855761e-10       1.801467847800e-14       2.549061485335e-14       0.000000000000e+00       4.895408092334e-11       5.316787358630e-12      -8.327020187144e-15 
   53       1.994771169812e-10       1.913019312095e-14      -3.063675388266e-15       0.000000000000e+00       4.693997702852e-11       5.117491429317e-12      -8.453175710827e-15 
   54       2.022621850886e-10       2.028490951998e-14      -3.338789080814e-14       0.000000000000e+00       4.503172313288e-11       4.927688470225e-12      -8.764149589485e-15 
   55       2.050748294689e-10       2.147898067989e-14      -6.550289851193e-14       0.000000000000e+00       4.322863608635e-11       4.747605677760e-12      -9.208104216426e-15 
   56       2.079165707469e-10       2.271252290717e-14      -9.942893535546e-14       0.000000000000e+00       4.152670430906e-11       4.577188737518e-12      -9.723376608335e-15 
   57       2.107877164763e-10       2.398561521221e-14      -1.351856592837e-13       0.000000000000e+00       3.991837346587e-11       4.416082743636e-12      -1.023800488320e-14 
   58       2.136872670142e-10       2.529829871158e-14      -1.727922006699e-13       0.000000000000e+00       3.839233214084e-11       4.263613118147e-12      -1.066925473823e-14 
   59       2.166137536350e-10       2.665049357132e-14      -2.122610770749e-13       0.000000000000e+00       3.693662484687e-11       4.118974462233e-12      -1.094382263191e-14 
   60       2.195681939321e-10       2.804172867067e-14      -2.535781706913e-13       0.000000000000e+00       3.554932203371e-11       3.981891659600e-12      -1.106499961608e-14 
   61       2.225516576150e-10       2.947134799016e-14      -2.967181835366e-13       0.000000000000e+00       3.422995358738e-11       3.852078851511e-12      -1.106029578199e-14 
   62       2.255643333692e-10       3.093858422694e-14      -3.416502117136e-13       0.000000000000e+00       3.297629990303e-11       3.729033217430e-12      -1.096235770453e-14 
   63       2.286054663327e-10       3.244255540174e-14      -3.883375887300e-13       0.000000000000e+00       3.178429035047e-11       3.612022942910e-12      -1.080919582532e-14 
   64       2.316732955713e-10       3.398226146591e-14      -4.367377288177e-13       0.000000000000e+00       3.064790173967e-11       3.500075187489e-12      -1.064441183596e-14 
   65       2.347660211382e-10       3.555669091576e-14      -4.868112958756e-13       0.000000000000e+00       2.956081993252e-11       3.392233477500e-12      -1.050731637277e-14 
   66       2.378850837334e-10       3.716517450020e-14      -5.385523191974e-13       0.000000000000e+00       2.852206175218e-11       3.288420268695e-12      -1.040033879647e-14 
   67       2.410324699044e-10       3.880710057832e-14      -5.919641944978e-13       0.000000000000e+00       2.753136571257e-11       3.188736090716e-12      -1.031510144275e-14 
   68       2.442097106574e-10       4.048181141205e-14      -6.470510233067e-13       0.000000000000e+00       2.658748269179e-11       3.093201829599e-12      -1.024186590992e-14 
   69       2.474178477339e-10       4.218860285032e-14      -7.038177171452e-13       0.000000000000e+00       2.568812371647e-11       3.001754232032e-12      -1.016947765367e-14 
   70       2.506573998851e-10       4.392672401321e-14      -7.622701017016e-13       0.000000000000e+00       2.482990774597e-11       2.914241409610e-12      -1.008531058164e-14 
   71       2.539283291486e-10       4.569537697608e-14      -8.224150210074e-13       0.000000000000e+00       2.400830945678e-11       2.830418343082e-12      -9.975211648168e-15 
   72       2.572304238139e-10       4.749367762596e-14      -8.842525779001e-13       0.000000000000e+00       2.321882309603e-11       2.750017102057e-12      -9.827391287363e-15 
   73       2.605646073678e-10       4.932053023380e-14      -9.477508995685e-13       0.000000000000e+00       2.246082871132e-11       2.672983099025e-12      -9.645082376217e-15 
   74       2.639318210258e-10       5.117472812350e-14      -1.012866693965e-12       0.000000000000e+00       2.173437713685e-11       2.599276270906e-12      -9.436222346014e-15 
   75       2.673326055045e-10       5.305498918455e-14      -1.079552610264e-12       0.000000000000e+00       2.103901564370e-11       2.528797639252e-12      -9.209756735028e-15 
   76       2.707670768100e-10       5.495995466974e-14      -1.147757163497e-12       0.000000000000e+00       2.037376348832e-11       2.461386520338e-12      -8.975673870829e-15 
   77       2.742349020279e-10       5.688818799280e-14      -1.217424659194e-12       0.000000000000e+00       1.973708746093e-11       2.396817735239e-12      -8.745039552579e-15 
   78       2.777352751119e-10       5.883817352606e-14      -1.288495118025e-12       0.000000000000e+00       1.912687743395e-11       2.334798819926e-12      -8.530031733337e-15 
   79       2.812668926725e-10       6.080831539817e-14      -1.360904200435e-12       0.000000000000e+00       1.854042191047e-11       2.274967235343e-12      -8.343975202356e-15 
   80       2.848284900310e-10       6.279699156712e-14      -1.434588936092e-12       0.000000000000e+00       1.797508141989e-11       2.216980196754e-12      -8.198204862061e-15 
   81       2.884206098524e-10       6.480272949937e-14      -1.509506223910e-12       0.000000000000e+00       1.743049717754e-11       2.160808265454e-12      -8.091951913296e-15 
   82       2.920440979040e-10       6.682405894817e-14      -1.585617422323e-12       0.000000000000e+00       1.690672315332e-11       2.106487889645e-12      -8.020756333368e-15 
   83       2.956995564507e-10       6.885945921209e-14      -1.662882861475e-12       0.000000000000e+00       1.640355094218e-11       2.054032255646e-12      -7.979458600169e-15 
   84       2.993873304189e-10       7.090735895624e-14      -1.741261875361e-12       0.000000000000e+00       1.592049823569e-11       2.003430213142e-12      -7.962175644749e-15 
   85       3.031074935607e-10       7.296613603362e-14      -1.820712833958e-12       0.000000000000e+00       1.545679729351e-11       1.954645200447e-12      -7.962276803888e-15 
