# z w cs2
1.23222378 -1.00000000 0.00000000
1.27548042 -1.00000000 0.00000000
1.32025556 -1.00000000 0.00000000
1.36660252 -1.00000000 0.00000000
1.41457646 -1.00000000 0.00000000
1.46423451 -1.00000000 0.00000000
1.51563578 -1.00000000 0.00000000
1.56884147 -1.00000000 0.00000000
1.62391492 -1.00000000 0.00000000
1.68092170 -1.00000000 0.00000000
1.73992967 -1.00000000 0.00000000
1.80100909 -1.00000000 0.00000000
1.86423267 -1.00000000 0.00000000
1.92967569 -1.00000000 0.00000000
1.99741606 -1.00000000 0.00000000
2.06753442 -1.00000000 0.00000000
2.14011425 -1.00000000 0.00000000
2.21524197 -1.00000000 0.00000000
2.29300700 -1.00000000 0.00000000
2.37350194 -1.00000000 0.00000000
2.45682262 -1.00000000 0.00000000
2.54306824 -1.00000000 0.00000000
2.63234146 -1.00000000 0.00000000
2.72474858 -1.00000000 0.00000000
2.82039961 -1.00000000 0.00000000
2.91940843 -1.00000000 0.00000000
3.02189290 -1.00000000 0.00000000
3.12797504 -1.00000000 0.00000000
3.23778115 -1.00000000 0.00000000
3.35144195 -1.00000000 0.00000000
3.46909276 -1.00000000 0.00000000
3.59087364 -1.00000000 0.00000000
3.71692959 -1.00000000 0.00000000
3.84741067 -1.00000000 0.00000000
3.98247223 -1.00000000 0.00000000
4.12227506 -1.00000000 0.00000000
4.26698561 -1.00000000 0.00000000
4.41677615 -1.00000000 0.00000000
4.57182502 -1.00000000 0.00000000
4.73231680 -1.00000000 0.00000000
4.89844258 -1.00000000 0.00000000
5.07040012 -1.00000000 0.00000000
5.24839416 -1.00000000 0.00000000
5.43263659 -1.00000000 0.00000000
5.62334677 -1.00000000 0.00000000
5.82075173 -1.00000000 0.00000000
6.02508651 -1.00000000 0.00000000
6.23659437 -1.00000000 0.00000000
6.45552710 -1.00000000 0.00000000
6.68214538 -1.00000000 0.00000000
6.91671898 -1.00000000 0.00000000
7.15952717 -1.00000000 0.00000000
7.41085904 -1.00000000 0.00000000
7.67101379 -1.00000000 0.00000000
7.94030116 -1.00000000 0.00000000
8.21904173 -1.00000000 0.00000000
8.50756736 -1.00000000 0.00000000
8.80622155 -1.00000000 0.00000000
9.11535985 -1.00000000 0.00000000
9.43535031 -1.00000000 0.00000000
9.76657389 -1.00000000 0.00000000
10.10942492 -1.00000000 0.00000000
10.46431157 -1.00000000 0.00000000
10.83165635 -1.00000000 0.00000000
11.21189660 -1.00000000 0.00000000
11.60548501 -1.00000000 0.00000000
12.01289015 -1.00000000 0.00000000
12.43459706 -1.00000000 0.00000000
12.87110780 -1.00000000 0.00000000
13.32294204 -1.00000000 0.00000000
13.79063771 -1.00000000 0.00000000
14.27475162 -1.00000000 0.00000000
14.77586013 -1.00000000 0.00000000
15.29455981 -1.00000000 0.00000000
15.83146821 -1.00000000 0.00000000
16.38722452 -1.00000000 0.00000000
16.96249041 -1.00000000 0.00000000
17.55795073 -1.00000000 0.00000000
18.17431441 -1.00000000 0.00000000
18.81231525 -1.00000000 0.00000000
19.47271281 -1.00000000 0.00000000
20.15629332 -1.00000000 0.00000000
20.86387060 -1.00000000 0.00000000
21.59628706 -1.00000000 0.00000000
22.35441466 -1.00000000 0.00000000
23.13915597 -1.00000000 0.00000000
23.95144526 -1.00000000 0.00000000
24.79224958 -1.00000000 0.00000000
25.66256995 -1.00000000 0.00000000
26.56344251 -1.00000000 0.00000000
27.49593979 -1.00000000 0.00000000
28.46117194 -1.00000000 0.00000000
29.46028812 -1.00000000 0.00000000
30.49447781 -1.00000000 0.00000000
31.56497224 -1.00000000 0.00000000
32.67304589 -1.00000000 0.00000000
33.82001794 -1.00000000 0.00000000
35.00725391 -1.00000000 0.00000000
36.23616725 -1.00000000 0.00000000
37.50822102 -1.00000000 0.00000000
38.82492964 -1.00000000 0.00000000
40.18786071 -1.00000000 0.00000000
41.59863683 -1.00000000 0.00000000
43.05893760 -1.00000000 0.00000000
44.57050154 -1.00000000 0.00000000
46.13512823 -1.00000000 0.00000000
47.75468041 -1.00000000 0.00000000
49.43108621 -1.00000000 0.00000000
51.16634147 -1.00000000 0.00000000
52.96251204 -1.00000000 0.00000000
54.82173635 -1.00000000 0.00000000
56.74622786 -1.00000000 0.00000000
58.73827775 -1.00000000 0.00000000
60.80025762 -1.00000000 0.00000000
62.93462234 -1.00000000 0.00000000
65.14391293 -1.00000000 0.00000000
67.43075965 -1.00000000 0.00000000
69.79788505 -1.00000000 0.00000000
72.24810728 -1.00000000 0.00000000
74.78434342 -1.00000000 0.00000000
77.40961295 -1.00000000 0.00000000
80.12704135 -1.00000000 0.00000000
82.93986380 -1.00000000 0.00000000
85.85142908 -1.00000000 0.00000000
88.86520349 -1.00000000 0.00000000
91.98477506 -1.00000000 0.00000000
95.21385773 -1.00000000 0.00000000
98.55629584 -1.00000000 0.00000000
102.01606869 -1.00000000 0.00000000
105.59729525 -1.00000000 0.00000000
109.30423909 -1.00000000 0.00000000
113.14131348 -1.00000000 0.00000000
117.11308657 -1.00000000 0.00000000
121.22428691 -1.00000000 0.00000000
125.47980902 -1.00000000 0.00000000
129.88471925 -1.00000000 0.00000000
134.44426181 -1.00000000 0.00000000
139.16386498 -1.00000000 0.00000000
144.04914762 -1.00000000 0.00000000
149.10592583 -1.00000000 0.00000000
154.34021988 -1.00000000 0.00000000
159.75826139 -1.00000000 0.00000000
165.36650072 -1.00000000 0.00000000
171.17161468 -1.00000000 0.00000000
177.18051446 -1.00000000 0.00000000
183.40035386 -1.00000000 0.00000000
189.83853783 -1.00000000 0.00000000
196.50273125 -1.00000000 0.00000000
203.40086808 -1.00000000 0.00000000
210.54116078 -1.00000000 0.00000000
217.93211013 -1.00000000 0.00000000
225.58251532 -1.00000000 0.00000000
233.50148441 -1.00000000 0.00000000
241.69844523 -1.00000000 0.00000000
250.18315653 -1.00000000 0.00000000
258.96571968 -1.00000000 0.00000000
268.05659061 -1.00000000 0.00000000
277.46659233 -1.00000000 0.00000000
287.20692777 -1.00000000 0.00000000
297.28919315 -1.00000000 0.00000000
307.72539176 -1.00000000 0.00000000
318.52794826 -1.00000000 0.00000000
329.70972347 -1.00000000 0.00000000
341.28402970 -1.00000000 0.00000000
353.26464654 -1.00000000 0.00000000
365.66583737 -1.00000000 0.00000000
378.50236621 -1.00000000 0.00000000
391.78951542 -1.00000000 0.00000000
405.54310382 -1.00000000 0.00000000
419.77950552 -1.00000000 0.00000000
434.51566948 -1.00000000 0.00000000
449.76913960 -1.00000000 0.00000000
465.55807569 -1.00000000 0.00000000
481.90127502 -1.00000000 0.00000000
498.81819474 -1.00000000 0.00000000
516.32897506 -1.00000000 0.00000000
534.45446315 -1.00000000 0.00000000
553.21623807 -1.00000000 0.00000000
572.63663634 -1.00000000 0.00000000
592.73877866 -1.00000000 0.00000000
613.54659731 -1.00000000 0.00000000
635.08486474 -1.00000000 0.00000000
657.37922301 -1.00000000 0.00000000
680.45621434 -1.00000000 0.00000000
704.34331270 -1.00000000 0.00000000
729.06895652 -1.00000000 0.00000000
754.66258255 -1.00000000 0.00000000
781.15466089 -1.00000000 0.00000000
808.57673130 -1.00000000 0.00000000
836.96144071 -1.00000000 0.00000000
866.34258213 -1.00000000 0.00000000
896.75513482 -1.00000000 0.00000000
928.23530600 -1.00000000 0.00000000
960.82057393 -1.00000000 0.00000000
994.54973250 -1.00000000 0.00000000
1029.46293747 -1.00000000 0.00000000
1065.60175424 -1.00000000 0.00000000
1103.00920733 -1.00000000 0.00000000
1141.72983163 -1.00000000 0.00000000
1181.80972540 -1.00000000 0.00000000
1223.29660518 -1.00000000 0.00000000
1266.23986253 -1.00000000 0.00000000
1310.69062293 -1.00000000 0.00000000
1356.70180656 -1.00000000 0.00000000
1404.32819135 -1.00000000 0.00000000
1453.62647820 -1.00000000 0.00000000
1504.65535843 -1.00000000 0.00000000
1557.47558372 -1.00000000 0.00000000
1612.15003842 -1.00000000 0.00000000
1668.74381437 -1.00000000 0.00000000
1727.32428846 -1.00000000 0.00000000
1787.96120280 -1.00000000 0.00000000
1850.72674776 -1.00000000 0.00000000
1915.69564794 -1.00000000 0.00000000
1982.94525108 -1.00000000 0.00000000
2052.55562021 -1.00000000 0.00000000
2124.60962892 -1.00000000 0.00000000
2199.19306002 -1.00000000 0.00000000
2276.39470773 -1.00000000 0.00000000
2356.30648331 -1.00000000 0.00000000
2439.02352454 -1.00000000 0.00000000
2524.64430896 -1.00000000 0.00000000
2613.27077112 -1.00000000 0.00000000
2705.00842394 -1.00000000 0.00000000
2799.96648433 -1.00000000 0.00000000
2898.25800318 -1.00000000 0.00000000
3000.00000000 -1.00000000 0.00000000
